Job Title,Company Name,Location,Experience,Link,Posted Date
S&C Global Network - AI - Conversational AI - Analyst,Accenture,Bengaluru,5-8 Yrs,https://www.naukri.com/job-listings-s-c-global-network-ai-conversational-ai-analyst-accenture-solutions-pvt-ltd-bengaluru-2-to-4-years-050924916915,2024-09-05
S&C Global Network - AI - Conversational AI - Analyst,Accenture,Bengaluru,5-8 Yrs,https://www.naukri.com/job-listings-s-c-global-network-ai-conversational-ai-analyst-accenture-solutions-pvt-ltd-gurugram-2-to-4-years-050924916861,2024-09-05
S&C Global Network - AI - Hi Tech - Data Science Sr. Analyst,Accenture,Bengaluru,5-8 Yrs,https://www.naukri.com/job-listings-s-c-global-network-ai-hi-tech-data-science-sr-analyst-accenture-solutions-pvt-ltd-hyderabad-2-to-5-years-050924916857,2024-09-05
S&C Global Network - AI - Marketing Analytics (MMM) - Manager,Accenture,Bengaluru,5-8 Yrs,https://www.naukri.com/job-listings-s-c-global-network-ai-marketing-analytics-mmm-manager-accenture-solutions-pvt-ltd-bengaluru-10-to-12-years-050924916836,2024-09-05
S&C Global Network - AI - Marketing Analytics (MMM) - Manager,Accenture,Bengaluru,5-8 Yrs,https://www.naukri.com/job-listings-s-c-global-network-ai-marketing-analytics-mmm-manager-accenture-solutions-pvt-ltd-gurugram-10-to-12-years-050924916832,2024-09-05
Data Engineer/ Data Scientist,Career Foresight Hr Solution Llp,Bengaluru,5-8 Yrs,https://www.naukri.com/job-listings-data-engineer-data-scientist-career-foresight-hr-solution-llp-kochi-bengaluru-6-to-11-years-100424012124,2024-09-05
Business Analyst,Accenture,Bengaluru,5-8 Yrs,https://www.naukri.com/job-listings-business-analyst-accenture-solutions-pvt-ltd-bengaluru-5-to-7-years-050924916676,2024-09-05
AI / ML Engineer,Accenture,Bengaluru,5-8 Yrs,https://www.naukri.com/job-listings-ai-ml-engineer-accenture-solutions-pvt-ltd-mumbai-3-to-5-years-050924916555,2024-09-05
"Opportunity - NLP Data Scientist - Product based MNC, pune",Top B2B MNC in Auto Components Sector,Bengaluru,5-8 Yrs,https://www.naukri.com/job-listings-opportunity-nlp-data-scientist-product-based-mnc-pune-peoplefy-infosolutions-pune-5-to-10-years-050924016488,2024-09-05
S&C Global Network - AI - CMT - Consultant Data Science LLM,Accenture,Bengaluru,5-8 Yrs,https://www.naukri.com/job-listings-s-c-global-network-ai-cmt-consultant-data-science-llm-accenture-solutions-pvt-ltd-gurugram-bengaluru-4-to-9-years-050924916379,2024-09-05
S&C Global Network - AI - CMT - Consultant Data Science LLM,Accenture,Bengaluru,5-8 Yrs,https://www.naukri.com/job-listings-s-c-global-network-ai-cmt-consultant-data-science-llm-accenture-solutions-pvt-ltd-bengaluru-4-to-9-years-050924916376,2024-09-05
S&C Global Network - AI - Conversational AI - Analyst,Accenture,Gurugram,2-4 Yrs,https://www.naukri.com/job-listings-s-c-global-network-ai-conversational-ai-analyst-accenture-solutions-pvt-ltd-gurugram-2-to-4-years-050924916312,2024-09-05
Urgent Opening _ Data Engineer(Snowflake & Python)6-8 Yrs_ Pan India,Stewart Title,Gurugram,2-4 Yrs,https://www.naukri.com/job-listings-urgent-opening-data-engineer-snowflake-python-6-8-yrs-pan-india-stewart-title-navi-mumbai-5-to-8-years-050924016306,2024-09-05
S&C Global Network- AI -Prompt Engineering - DS Insurance - Consultant,Accenture,Gurugram,2-4 Yrs,https://www.naukri.com/job-listings-s-c-global-network-ai-prompt-engineering-ds-insurance-consultant-accenture-solutions-pvt-ltd-mumbai-gurugram-bengaluru-5-to-9-years-050924916293,2024-09-05
Business Process Architect,Accenture,Gurugram,2-4 Yrs,https://www.naukri.com/job-listings-business-process-architect-accenture-solutions-pvt-ltd-bengaluru-7-to-11-years-050924916229,2024-09-05
Power BI Specialist (Contractor),Proso Ai Technologies,Gurugram,2-4 Yrs,https://www.naukri.com/job-listings-power-bi-specialist-contractor-proso-ai-technologies-noida-5-to-10-years-050924016072,2024-09-05
Data Science Practitioner,Accenture,Gurugram,2-4 Yrs,https://www.naukri.com/job-listings-data-science-practitioner-accenture-solutions-pvt-ltd-gurugram-2-to-4-years-050924916061,2024-09-05
S&C Global Network - AI - Financial Services Analytics - Consultant,Accenture,Gurugram,2-4 Yrs,https://www.naukri.com/job-listings-s-c-global-network-ai-financial-services-analytics-consultant-accenture-solutions-pvt-ltd-mumbai-3-to-8-years-050924916021,2024-09-05
Data Platform Engineer,Accenture,Gurugram,2-4 Yrs,https://www.naukri.com/job-listings-data-platform-engineer-accenture-solutions-pvt-ltd-gurugram-5-to-7-years-050924915531,2024-09-05
ML Operations Engineer,EXL,Gurugram,2-4 Yrs,https://www.naukri.com/job-listings-ml-operations-engineer-exl-bengaluru-delhi-ncr-3-to-8-years-230524011715,2024-09-05
AI / ML Engineer,Accenture,Gurugram,2-4 Yrs,https://www.naukri.com/job-listings-ai-ml-engineer-accenture-solutions-pvt-ltd-gurugram-3-to-6-years-050924914998,2024-09-05
AI / ML Engineer,Accenture,Gurugram,2-4 Yrs,https://www.naukri.com/job-listings-ai-ml-engineer-accenture-solutions-pvt-ltd-bengaluru-12-to-16-years-050924914991,2024-09-05
Business Function Designer,Accenture,Gurugram,2-4 Yrs,https://www.naukri.com/job-listings-business-function-designer-accenture-solutions-pvt-ltd-bengaluru-5-to-9-years-050924914940,2024-09-05
Business Analyst,Accenture,Gurugram,2-4 Yrs,https://www.naukri.com/job-listings-business-analyst-accenture-solutions-pvt-ltd-pune-5-to-7-years-050924914934,2024-09-05
Data Scientist Lead,Inxite Out,Gurugram,2-4 Yrs,https://www.naukri.com/job-listings-data-scientist-lead-inxite-out-kolkata-bengaluru-5-to-7-years-050924014911,2024-09-05
AI / ML Engineer,Accenture,Gurugram,2-4 Yrs,https://www.naukri.com/job-listings-ai-ml-engineer-accenture-solutions-pvt-ltd-bengaluru-12-to-14-years-050924914905,2024-09-05
AI / ML Engineer,Accenture,Gurugram,2-4 Yrs,https://www.naukri.com/job-listings-ai-ml-engineer-accenture-solutions-pvt-ltd-bengaluru-15-to-20-years-050924914868,2024-09-05
Business Analyst(1-5years),Owfis Jobpe Technologies,Gurugram,2-4 Yrs,https://www.naukri.com/job-listings-business-analyst-1-5years-owfis-jobpe-technologies-hyderabad-secunderabad-1-to-4-years-100724013387,2024-09-05
AI / ML Engineer,Accenture,Gurugram,2-4 Yrs,https://www.naukri.com/job-listings-ai-ml-engineer-accenture-solutions-pvt-ltd-bengaluru-2-to-5-years-050924914658,2024-09-05
Senior BI Developer,PureSoftware Pvt Ltd,Gurugram,2-4 Yrs,https://www.naukri.com/job-listings-senior-bi-developer-puresoftware-pvt-ltd-noida-bengaluru-india-10-to-15-years-040924013467,2024-09-05
Business Analyst - Phones - PAN INDIA,Equipe Container Services India,Gurugram,2-4 Yrs,https://www.naukri.com/job-listings-business-analyst-phones-pan-india-equipe-container-services-india-pune-2-to-6-years-050924913979,2024-09-05
